time,open,high,low,close,tick_volume,spread,real_volume
2025-01-02 01:00:00,2621.65,2625.51,2621.65,2623.46,642,28,0
2025-01-02 01:30:00,2623.46,2624.21,2621.51,2623.61,479,28,0
2025-01-02 02:00:00,2623.61,2626.36,2622.56,2626.16,1274,28,0
2025-01-02 02:30:00,2626.18,2627.67,2625.23,2625.24,1612,28,0
2025-01-02 03:00:00,2625.24,2632.88,2623.68,2632.48,5577,28,0
2025-01-02 03:30:00,2632.47,2634.26,2631.47,2632.85,4208,28,0
2025-01-02 04:00:00,2632.85,2636.36,2632.5,2635.56,3588,28,0
2025-01-02 04:30:00,2635.47,2635.61,2632.21,2634.56,3561,28,0
2025-01-02 05:00:00,2634.56,2635.26,2632.81,2633.21,3122,28,0
2025-01-02 05:30:00,2633.21,2634.12,2632.21,2633.55,2192,28,0
2025-01-02 06:00:00,2633.56,2633.58,2632.01,2632.37,1809,28,0
2025-01-02 06:30:00,2632.35,2634.08,2630.9,2633.82,2073,28,0
2025-01-02 07:00:00,2633.81,2635.23,2632.99,2634.83,1813,28,0
2025-01-02 07:30:00,2634.78,2636.36,2633.9,2633.96,2924,28,0
2025-01-02 08:00:00,2633.95,2634.35,2631.12,2634.13,3158,28,0
2025-01-02 08:30:00,2634.15,2635.34,2633.3,2634.1,3203,28,0
2025-01-02 09:00:00,2634.1,2635.86,2633.49,2634.18,3204,28,0
2025-01-02 09:30:00,2634.18,2635.96,2632.87,2635.81,2373,28,0
2025-01-02 10:00:00,2635.91,2636.93,2631.21,2633.11,4246,28,0
2025-01-02 10:30:00,2633.11,2637.66,2630.96,2636.41,3473,28,0
2025-01-02 11:00:00,2636.41,2639.86,2636.41,2637.42,3698,28,0
2025-01-02 11:30:00,2637.42,2638.34,2635.93,2636.01,2894,28,0
2025-01-02 12:00:00,2636.01,2646.2,2632.68,2644.79,5909,28,0
2025-01-02 12:30:00,2644.72,2645.59,2640.33,2642.67,5317,28,0
2025-01-02 13:00:00,2642.67,2644.52,2640.52,2641.81,4219,28,0
2025-01-02 13:30:00,2641.84,2642.76,2640.3,2641.91,3605,28,0
2025-01-02 14:00:00,2641.88,2643.15,2640.28,2642.66,3908,28,0
2025-01-02 14:30:00,2642.66,2646.34,2642.06,2643.31,4924,28,0
2025-01-02 15:00:00,2643.31,2643.31,2635.93,2640.78,8413,28,0
2025-01-02 15:30:00,2640.66,2647.18,2636.89,2642.86,8884,28,0
2025-01-02 16:00:00,2642.74,2648.98,2640.23,2646.19,8253,28,0
2025-01-02 16:30:00,2646.18,2650.91,2646.18,2647.63,8016,28,0
2025-01-02 17:00:00,2647.53,2649.55,2645.06,2648.69,9386,28,0
2025-01-02 17:30:00,2648.66,2655.76,2648.26,2654.01,9027,28,0
2025-01-02 18:00:00,2654.01,2657.9,2649.9,2656.61,9889,28,0
2025-01-02 18:30:00,2656.64,2660.39,2654.85,2659.21,5199,28,0
2025-01-02 19:00:00,2659.21,2660.42,2655.89,2656.21,4438,28,0
2025-01-02 19:30:00,2656.29,2656.63,2652.46,2656.49,6041,28,0
2025-01-02 20:00:00,2656.5,2658.75,2654.85,2654.87,5138,28,0
2025-01-02 20:30:00,2654.85,2656.03,2653.7,2655.36,4567,28,0
2025-01-02 21:00:00,2655.35,2656.0,2653.71,2655.49,4402,28,0
2025-01-02 21:30:00,2655.5,2657.08,2654.26,2654.64,4759,28,0
2025-01-02 22:00:00,2654.64,2660.38,2654.04,2659.84,3812,28,0
2025-01-02 22:30:00,2659.8,2660.39,2658.7,2659.61,4084,28,0
2025-01-02 23:00:00,2659.7,2660.19,2657.78,2658.11,636,28,0
2025-01-02 23:30:00,2658.11,2658.44,2656.45,2657.37,652,28,0
2025-01-03 01:00:00,2657.52,2658.91,2654.0,2658.64,374,28,0
2025-01-03 01:30:00,2658.66,2659.46,2657.68,2658.25,814,28,0
2025-01-03 02:00:00,2658.26,2660.97,2658.23,2659.59,1311,28,0
2025-01-03 02:30:00,2659.59,2660.91,2658.6,2660.7,1184,28,0
2025-01-03 03:00:00,2660.69,2662.41,2658.14,2658.76,4167,28,0
2025-01-03 03:30:00,2658.73,2660.05,2656.66,2659.39,2831,28,0
2025-01-03 04:00:00,2659.36,2663.91,2656.11,2659.16,3937,28,0
2025-01-03 04:30:00,2659.22,2663.0,2658.77,2662.48,4161,28,0
2025-01-03 05:00:00,2662.49,2665.22,2661.1,2663.32,3881,28,0
2025-01-03 05:30:00,2663.34,2663.54,2661.89,2662.18,1997,28,0
2025-01-03 06:00:00,2662.15,2664.29,2661.59,2663.88,1878,28,0
2025-01-03 06:30:00,2663.94,2664.14,2661.75,2662.78,1682,28,0
2025-01-03 07:00:00,2662.75,2662.82,2659.86,2660.41,2622,28,0
2025-01-03 07:30:00,2660.41,2660.41,2655.74,2658.46,2568,28,0
2025-01-03 08:00:00,2658.46,2659.96,2657.16,2657.25,2443,28,0
2025-01-03 08:30:00,2657.22,2660.26,2656.57,2659.48,2829,28,0
2025-01-03 09:00:00,2659.39,2659.48,2651.76,2652.68,3529,28,0
2025-01-03 09:30:00,2652.66,2656.01,2652.42,2654.27,3346,28,0
2025-01-03 10:00:00,2654.13,2655.7,2651.95,2652.52,5276,28,0
2025-01-03 10:30:00,2652.56,2653.54,2649.77,2652.87,5012,28,0
2025-01-03 11:00:00,2652.87,2655.86,2652.71,2653.86,5093,28,0
2025-01-03 11:30:00,2653.84,2655.83,2652.87,2653.55,3681,28,0
2025-01-03 12:00:00,2653.55,2657.26,2653.42,2656.16,3420,28,0
2025-01-03 12:30:00,2656.14,2657.89,2652.99,2657.6,3603,28,0
2025-01-03 13:00:00,2657.59,2659.28,2656.23,2656.76,3614,28,0
2025-01-03 13:30:00,2656.76,2658.6,2656.32,2657.51,3484,28,0
2025-01-03 14:00:00,2657.53,2658.25,2655.28,2655.57,3643,28,0
2025-01-03 14:30:00,2655.56,2657.41,2654.74,2655.21,3722,28,0
2025-01-03 15:00:00,2655.21,2656.27,2647.88,2649.42,6992,28,0
2025-01-03 15:30:00,2649.51,2651.25,2643.44,2649.77,6401,28,0
2025-01-03 16:00:00,2649.78,2650.24,2645.08,2649.12,8402,28,0
2025-01-03 16:30:00,2649.09,2652.59,2646.05,2647.46,8963,28,0
2025-01-03 17:00:00,2647.21,2648.24,2640.93,2642.32,10320,28,0
2025-01-03 17:30:00,2642.31,2646.11,2642.01,2643.82,8082,28,0
2025-01-03 18:00:00,2643.8,2647.23,2640.65,2641.25,7678,28,0
2025-01-03 18:30:00,2641.27,2643.54,2639.07,2639.86,5581,28,0
2025-01-03 19:00:00,2639.86,2642.56,2639.36,2641.7,4135,28,0
2025-01-03 19:30:00,2641.82,2642.21,2639.03,2641.71,5009,28,0
2025-01-03 20:00:00,2641.76,2642.19,2639.66,2641.18,4075,28,0
2025-01-03 20:30:00,2641.18,2642.27,2640.88,2641.81,3771,28,0
2025-01-03 21:00:00,2641.8,2642.87,2640.51,2641.25,2677,28,0
2025-01-03 21:30:00,2641.25,2642.08,2639.01,2639.39,2870,28,0
2025-01-03 22:00:00,2639.39,2640.03,2638.4,2639.2,3150,28,0
2025-01-03 22:30:00,2639.19,2639.65,2636.79,2638.11,3898,28,0
2025-01-03 23:00:00,2638.12,2638.73,2636.91,2637.52,814,28,0
2025-01-03 23:30:00,2637.52,2640.69,2636.67,2639.51,1221,28,0
2025-01-06 01:00:00,2641.17,2642.26,2638.81,2641.66,1045,28,0
2025-01-06 01:30:00,2641.65,2642.13,2640.22,2640.91,1188,28,0
2025-01-06 02:00:00,2640.91,2641.68,2638.53,2639.28,2712,28,0
2025-01-06 02:30:00,2639.29,2643.21,2638.77,2643.11,3229,28,0
2025-01-06 03:00:00,2643.07,2647.26,2640.68,2645.47,7285,28,0
2025-01-06 03:30:00,2645.49,2645.53,2641.18,2641.22,6919,28,0
2025-01-06 04:00:00,2641.24,2644.31,2639.66,2643.34,5553,28,0
2025-01-06 04:30:00,2643.33,2645.21,2642.86,2644.43,6184,28,0
2025-01-06 05:00:00,2644.42,2645.25,2640.75,2642.06,5207,28,0
2025-01-06 05:30:00,2642.07,2642.12,2639.05,2640.14,5481,28,0
2025-01-06 06:00:00,2640.14,2640.68,2635.14,2637.83,4074,28,0
2025-01-06 06:30:00,2637.83,2638.53,2634.25,2635.35,4153,28,0
2025-01-06 07:00:00,2635.37,2636.14,2634.11,2634.18,3138,28,0
2025-01-06 07:30:00,2634.18,2634.9,2631.44,2633.82,6348,28,0
2025-01-06 08:00:00,2633.82,2635.29,2630.64,2631.34,4426,28,0
2025-01-06 08:30:00,2631.33,2632.41,2630.12,2631.41,4033,28,0
2025-01-06 09:00:00,2631.38,2633.55,2629.91,2630.82,4170,28,0
2025-01-06 09:30:00,2630.81,2631.02,2625.07,2626.78,5597,28,0
2025-01-06 10:00:00,2626.77,2629.91,2625.69,2629.71,4394,28,0
2025-01-06 10:30:00,2629.71,2632.41,2627.12,2631.33,5127,28,0
2025-01-06 11:00:00,2631.23,2635.58,2631.01,2633.11,5110,28,0
2025-01-06 11:30:00,2633.05,2634.43,2631.53,2632.61,2498,28,0
2025-01-06 12:00:00,2632.61,2633.38,2631.14,2632.59,2658,28,0
2025-01-06 12:30:00,2632.6,2634.98,2630.85,2633.67,2993,28,0
2025-01-06 13:00:00,2633.68,2645.08,2632.5,2644.77,7857,28,0
2025-01-06 13:30:00,2644.79,2649.35,2643.33,2645.55,8603,28,0
2025-01-06 14:00:00,2645.53,2646.91,2642.24,2642.35,6225,28,0
2025-01-06 14:30:00,2642.31,2647.75,2641.91,2645.26,5377,28,0
2025-01-06 15:00:00,2645.28,2648.81,2641.81,2642.25,9670,28,0
2025-01-06 15:30:00,2642.29,2642.47,2621.86,2624.17,10565,28,0
2025-01-06 16:00:00,2624.11,2629.97,2614.62,2625.64,11002,28,0
2025-01-06 16:30:00,2625.62,2634.74,2622.43,2631.44,11192,28,0
2025-01-06 17:00:00,2631.36,2639.52,2629.36,2638.94,10648,28,0
2025-01-06 17:30:00,2638.93,2639.46,2632.12,2634.21,9932,28,0
2025-01-06 18:00:00,2634.21,2638.78,2632.41,2638.36,8671,28,0
2025-01-06 18:30:00,2638.35,2641.21,2638.09,2640.68,4616,28,0
2025-01-06 19:00:00,2640.75,2640.94,2636.67,2637.3,4795,28,0
2025-01-06 19:30:00,2637.29,2637.37,2634.22,2636.58,4729,28,0
2025-01-06 20:00:00,2636.6,2638.52,2633.68,2636.31,5639,28,0
2025-01-06 20:30:00,2636.26,2636.9,2634.48,2634.52,4725,28,0
2025-01-06 21:00:00,2634.53,2634.91,2632.83,2634.41,4620,28,0
2025-01-06 21:30:00,2634.36,2635.44,2633.54,2634.26,3476,28,0
2025-01-06 22:00:00,2634.29,2635.37,2633.12,2634.03,4164,28,0
2025-01-06 22:30:00,2634.03,2634.76,2633.14,2634.56,3675,28,0
2025-01-06 23:00:00,2634.51,2636.97,2634.46,2636.71,906,28,0
2025-01-06 23:30:00,2636.69,2636.89,2635.51,2636.03,746,28,0
2025-01-07 01:00:00,2634.72,2636.22,2632.82,2634.77,535,28,0
2025-01-07 01:30:00,2634.77,2635.02,2633.41,2634.51,667,28,0
2025-01-07 02:00:00,2634.61,2635.16,2632.79,2633.03,1306,28,0
2025-01-07 02:30:00,2633.03,2635.05,2632.87,2634.97,1808,28,0
2025-01-07 03:00:00,2634.96,2639.1,2634.81,2637.51,5203,28,0
2025-01-07 03:30:00,2637.46,2641.11,2636.19,2638.91,4641,28,0
2025-01-07 04:00:00,2638.89,2640.06,2636.86,2637.99,4837,28,0
2025-01-07 04:30:00,2638.0,2639.66,2636.77,2638.52,3691,28,0
2025-01-07 05:00:00,2638.52,2639.39,2637.46,2638.71,2649,28,0
2025-01-07 05:30:00,2638.72,2640.14,2638.27,2639.49,3246,28,0
2025-01-07 06:00:00,2639.49,2639.7,2637.25,2637.95,4023,28,0
2025-01-07 06:30:00,2637.95,2639.66,2637.78,2638.11,3400,28,0
2025-01-07 07:00:00,2638.11,2644.21,2636.92,2643.18,4383,28,0
2025-01-07 07:30:00,2643.21,2645.66,2642.65,2644.38,6298,28,0
2025-01-07 08:00:00,2644.38,2646.66,2643.11,2645.4,4633,28,0
2025-01-07 08:30:00,2645.36,2645.91,2639.78,2640.21,4420,28,0
2025-01-07 09:00:00,2640.21,2642.1,2639.53,2640.73,4201,28,0
2025-01-07 09:30:00,2640.7,2641.26,2637.96,2640.45,5600,28,0
2025-01-07 10:00:00,2640.45,2644.62,2640.01,2643.94,6848,28,0
2025-01-07 10:30:00,2643.88,2644.7,2640.43,2642.55,5738,28,0
2025-01-07 11:00:00,2642.48,2644.07,2640.09,2643.97,6354,28,0
2025-01-07 11:30:00,2643.97,2643.97,2640.5,2641.21,5111,28,0
2025-01-07 12:00:00,2641.21,2643.81,2641.15,2642.55,5859,28,0
2025-01-07 12:30:00,2642.54,2644.68,2642.52,2643.79,5700,28,0
2025-01-07 13:00:00,2643.8,2646.91,2641.91,2645.39,5026,28,0
2025-01-07 13:30:00,2645.39,2648.59,2644.56,2648.36,5133,28,0
2025-01-07 14:00:00,2648.34,2651.31,2647.29,2648.13,5323,28,0
2025-01-07 14:30:00,2648.13,2652.68,2647.58,2651.62,5539,28,0
2025-01-07 15:00:00,2651.61,2661.0,2649.91,2660.5,9640,28,0
2025-01-07 15:30:00,2660.46,2664.28,2657.04,2662.35,8536,28,0
2025-01-07 16:00:00,2662.41,2662.86,2655.7,2660.16,8074,28,0
2025-01-07 16:30:00,2660.26,2662.95,2657.4,2658.37,8457,28,0
2025-01-07 17:00:00,2656.85,2656.85,2641.97,2651.23,12154,28,0
2025-01-07 17:30:00,2651.25,2652.05,2644.76,2647.67,10671,28,0
2025-01-07 18:00:00,2647.61,2653.71,2646.39,2650.61,9543,28,0
2025-01-07 18:30:00,2650.56,2655.51,2648.75,2651.7,8781,28,0
2025-01-07 19:00:00,2651.71,2655.39,2651.69,2654.69,6919,28,0
2025-01-07 19:30:00,2654.74,2655.94,2650.25,2652.47,5937,28,0
2025-01-07 20:00:00,2652.41,2652.55,2649.54,2650.78,6650,28,0
2025-01-07 20:30:00,2650.78,2650.84,2647.23,2649.06,7131,28,0
