time,open,high,low,close,tick_volume,spread,real_volume
2025-01-02 01:00:00,2621.65,2625.36,2621.65,2624.96,177,43,0
2025-01-02 01:05:00,2624.96,2625.51,2624.41,2625.11,90,36,0
2025-01-02 01:10:00,2625.21,2625.21,2624.21,2624.55,74,43,0
2025-01-02 01:15:00,2624.61,2624.9,2624.11,2624.26,91,28,0
2025-01-02 01:20:00,2624.26,2624.26,2623.31,2623.51,146,41,0
2025-01-02 01:25:00,2623.51,2623.96,2623.34,2623.46,64,40,0
2025-01-02 01:30:00,2623.46,2623.66,2623.01,2623.11,79,36,0
2025-01-02 01:35:00,2623.11,2623.61,2622.51,2622.62,49,28,0
2025-01-02 01:40:00,2622.63,2622.66,2622.01,2622.02,75,28,0
2025-01-02 01:45:00,2621.85,2623.06,2621.51,2622.87,99,39,0
2025-01-02 01:50:00,2622.87,2623.81,2622.86,2623.58,86,42,0
2025-01-02 01:55:00,2623.58,2624.21,2623.41,2623.61,91,38,0
2025-01-02 02:00:00,2623.61,2623.96,2622.56,2622.81,198,28,0
2025-01-02 02:05:00,2622.81,2625.37,2622.74,2625.37,128,31,0
2025-01-02 02:10:00,2625.37,2626.06,2625.06,2625.56,180,30,0
2025-01-02 02:15:00,2625.58,2625.66,2625.06,2625.46,201,28,0
2025-01-02 02:20:00,2625.46,2626.36,2625.38,2626.01,298,28,0
2025-01-02 02:25:00,2626.01,2626.3,2625.58,2626.16,269,28,0
2025-01-02 02:30:00,2626.18,2626.3,2625.26,2625.55,338,28,0
2025-01-02 02:35:00,2625.55,2626.29,2625.48,2626.16,270,28,0
2025-01-02 02:40:00,2626.16,2627.36,2625.96,2626.66,159,28,0
2025-01-02 02:45:00,2626.67,2627.67,2626.66,2626.66,214,28,0
2025-01-02 02:50:00,2626.76,2627.35,2626.36,2626.56,187,32,0
2025-01-02 02:55:00,2626.56,2626.79,2625.23,2625.24,444,28,0
2025-01-02 03:00:00,2625.24,2627.21,2623.68,2627.11,1424,28,0
2025-01-02 03:05:00,2627.11,2630.33,2627.05,2629.46,1315,28,0
2025-01-02 03:10:00,2629.46,2630.79,2629.35,2629.46,615,28,0
2025-01-02 03:15:00,2629.38,2631.88,2629.26,2631.29,830,28,0
2025-01-02 03:20:00,2631.29,2631.56,2629.72,2631.33,699,29,0
2025-01-02 03:25:00,2631.28,2632.88,2630.28,2632.48,694,28,0
2025-01-02 03:30:00,2632.47,2634.11,2632.41,2633.91,639,28,0
2025-01-02 03:35:00,2633.91,2634.26,2632.56,2632.99,587,28,0
2025-01-02 03:40:00,2632.99,2633.81,2632.23,2633.36,478,28,0
2025-01-02 03:45:00,2633.18,2633.36,2631.65,2632.05,820,28,0
2025-01-02 03:50:00,2632.08,2632.79,2631.47,2632.36,928,28,0
2025-01-02 03:55:00,2632.36,2633.31,2631.99,2632.85,756,28,0
2025-01-02 04:00:00,2632.85,2634.65,2632.5,2633.45,857,28,0
